id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
12201,833.408,2487.34,19.492,0.044,0.9,0.057,nan,nan,1.664,0.053
12203,511.474,2830.26,19.511,0.036,0.826,0.048,0.18,0.098,1.615,0.047
12204,1545.96,61.757,19.517,0.046,1.179,0.066,nan,nan,1.877,0.054
12205,1294.9,963.877,19.511,0.038,1.0,0.072,0.469,0.133,1.718,0.048
12206,1029.31,1190.92,19.538,0.038,0.822,0.064,nan,nan,1.65,0.044
12207,576.044,1044.76,19.533,0.046,0.812,0.063,nan,nan,1.65,0.054
12208,3002.87,3723.2,19.466,0.025,0.941,0.044,0.513,0.12,1.555,0.039
12209,1527.09,1431.53,19.532,0.042,1.033,0.059,0.507,0.122,1.843,0.048
12210,2086.15,2487.22,19.493,0.025,0.805,0.04,nan,nan,1.551,0.029
12215,2367.79,1433.67,19.487,0.034,1.036,0.05,nan,nan,1.735,0.043
12216,434.032,757.592,19.546,0.043,0.753,0.058,0.442,0.106,1.653,0.05
12217,3754.75,2543.19,19.47,0.022,0.85,0.035,0.14,0.089,1.464,0.031
12218,3025.98,2516.49,19.478,0.029,0.773,0.04,0.197,0.09,1.408,0.037
12220,3420.67,2613.2,19.42,0.025,1.031,0.036,nan,nan,1.556,0.031
12221,3844.8,1069.98,19.495,0.021,0.879,0.042,0.141,0.092,1.547,0.032
12222,1058.66,2634.75,19.662,0.043,1.367,0.059,nan,nan,2.343,0.049
12224,236.148,3424.82,19.439,0.059,1.038,0.07,nan,nan,1.734,0.065
12225,1191.46,2707.38,19.435,0.039,0.994,0.059,0.47,0.106,1.591,0.047
12226,3150.74,2138.07,19.419,0.029,0.988,0.038,0.402,0.093,1.585,0.037
12228,1882.91,1504.34,19.501,0.045,1.079,0.059,nan,nan,1.755,0.049
12230,1116.35,1832.64,19.545,0.049,1.33,0.069,nan,nan,2.104,0.058
12231,2707.84,1938.48,19.472,0.036,0.854,0.052,0.211,0.081,1.509,0.048
12232,2053.34,3475.36,19.501,0.032,0.809,0.045,nan,nan,1.505,0.045
