id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
2718,1977.25,2055.15,17.371,0.028,0.765,0.036,0.399,0.041,1.152,0.033
2720,698.421,504.51,17.109,0.041,1.503,0.061,0.561,0.072,1.594,0.052
2721,2151.1,2095.23,17.323,0.023,0.98,0.033,0.406,0.043,1.375,0.03
2722,2774.87,1682.08,17.351,0.022,0.953,0.033,0.602,0.047,1.425,0.034
2723,3344.26,331.46,17.371,0.022,0.98,0.049,0.205,0.07,1.325,0.042
2724,2163.2,1363.05,17.35,0.031,0.857,0.041,0.373,0.05,1.228,0.038
2725,2726.22,4070.49,17.332,0.022,1.002,0.033,0.215,0.045,1.158,0.036
2726,1794.13,438.635,17.124,0.044,1.636,0.061,-0.704,0.061,1.205,0.049
2727,2921.43,3315.0,17.272,0.019,1.206,0.027,0.488,0.041,1.583,0.027
2728,2030.46,2438.04,17.341,0.029,0.843,0.038,0.39,0.04,1.21,0.034
2730,1879.42,2020.52,17.474,0.023,0.571,0.033,0.286,0.042,0.962,0.031
2731,3370.0,3926.77,17.265,0.025,0.842,0.037,0.308,0.049,0.977,0.031
2733,3258.22,1944.92,17.369,0.023,0.941,0.031,0.419,0.033,1.431,0.033
2736,2138.5,3362.16,17.394,0.018,0.828,0.026,0.535,0.045,1.171,0.027
2738,1252.13,1896.21,17.381,0.031,0.839,0.045,0.338,0.054,1.334,0.037
2739,1860.3,3523.55,17.276,0.022,1.227,0.033,0.507,0.052,1.506,0.028
2740,3216.39,2727.71,17.204,0.016,1.495,0.027,1.105,0.046,1.741,0.024
2741,1410.33,832.633,17.213,0.047,1.971,0.059,1.357,0.09,2.491,0.052
2742,4102.3,2056.15,17.343,0.018,1.345,0.034,0.802,0.069,1.795,0.028
2743,1799.88,3122.57,17.189,0.02,1.133,0.033,1.225,0.052,1.303,0.024
2744,206.53,947.125,17.204,0.037,0.991,0.071,1.948,0.196,1.137,0.047
2745,3125.8,1533.69,17.461,0.025,0.826,0.034,0.267,0.045,1.335,0.037
2746,3940.16,1600.26,17.442,0.023,0.745,0.038,0.213,0.044,1.195,0.032
2748,1323.79,3093.39,17.341,0.024,1.228,0.041,0.497,0.053,1.598,0.027
2750,1073.32,1344.14,17.311,0.037,0.904,0.051,0.302,0.054,1.267,0.041
2751,1410.96,3207.56,17.221,0.026,1.063,0.04,0.301,0.045,1.23,0.029
2753,2613.28,1771.09,17.457,0.024,0.716,0.036,0.287,0.05,1.254,0.033
2754,1110.91,2385.25,17.268,0.024,1.001,0.036,1.279,0.059,1.323,0.031
2755,3048.52,2565.97,17.317,0.016,1.095,0.029,0.376,0.036,1.421,0.026
2757,3641.8,3084.25,17.446,0.013,0.868,0.026,0.098,0.032,1.119,0.027
2759,2093.36,640.783,17.23,0.037,1.057,0.051,0.93,0.052,1.505,0.043
2760,2203.69,996.65,17.444,0.034,0.806,0.043,0.299,0.048,1.302,0.041
2761,72.93,3715.78,17.249,0.039,1.063,0.061,0.26,0.097,1.127,0.051
2763,2417.96,2004.23,17.358,0.027,0.963,0.039,0.304,0.045,1.309,0.036
2764,3853.2,673.865,17.331,0.019,1.064,0.037,0.418,0.049,1.34,0.035
2765,3870.29,3572.33,17.265,0.028,0.765,0.07,0.678,0.079,1.187,0.036
2767,1176.46,473.741,17.294,0.043,1.133,0.057,0.377,0.06,1.483,0.049
2768,864.618,2534.57,17.298,0.024,0.874,0.037,0.582,0.051,1.217,0.029
2770,321.723,1487.68,17.436,0.04,1.272,0.07,0.751,0.105,1.747,0.044
2771,2315.27,2919.81,17.374,0.016,1.112,0.026,0.441,0.088,1.533,0.024
2772,2291.72,592.201,17.406,0.031,0.795,0.048,0.216,0.055,1.128,0.042
2773,3830.44,2820.78,17.408,0.013,0.972,0.028,0.114,0.043,1.273,0.027
2774,1241.33,698.997,17.216,0.05,1.531,0.06,1.156,0.073,2.18,0.056
2775,639.109,1192.65,17.272,0.042,1.115,0.061,0.532,0.063,1.458,0.046
2776,3691.49,726.706,17.429,0.02,0.839,0.033,0.281,0.038,1.157,0.033
2777,746.221,570.842,17.307,0.045,1.034,0.066,0.389,0.07,1.397,0.051
2779,3602.06,572.521,17.439,0.022,0.883,0.036,0.147,0.05,1.285,0.036
2780,3443.5,1133.64,17.496,0.027,0.708,0.035,0.399,0.037,1.121,0.037
2782,952.906,2787.15,17.315,0.025,1.124,0.041,0.366,0.05,1.459,0.028
2783,742.263,2239.21,17.305,0.031,0.886,0.047,0.385,0.05,1.22,0.036
