radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
119.439793,0.341,-28.198418,0.353,15.186,0.067,10,16.535,0.189,10,NA,NA,0,15.846,0.068,10,14.738,0.08,10,14.258,0.087,10,NA,NA,0,NA,NA,0
119.439951,0.588,-28.708159,0.559,13.718,0.098,12,14.158,0.104,12,NA,NA,0,13.9,0.115,16,13.617,0.113,16,13.542,0.139,16,13.431,0.103,6,NA,NA,0
119.439984,0.29,-28.302574,0.37,13.988,0.042,10,14.585,0.042,10,NA,NA,0,14.224,0.03,10,13.826,0.046,10,13.707,0.076,10,14.024,0.304,1,NA,NA,0
119.440094,0.465,-28.549615,0.481,16.784,0.299,2,17.406,0.101,2,NA,NA,0,17.167,0.243,5,16.604,0.241,5,NA,NA,0,NA,NA,0,NA,NA,0
119.440426,0.756,-28.517034,0.571,17.591,0.289,1,17.848,0.339,1,NA,NA,0,17.504,0.026,2,16.747,0.054,2,NA,NA,0,NA,NA,0,NA,NA,0
119.440502,0.512,-28.643781,0.435,15.275,0.051,12,15.874,0.129,12,NA,NA,0,15.503,0.068,17,15.108,0.085,17,15.026,0.165,14,NA,NA,0,NA,NA,0
119.440834,0.487,-28.784981,0.456,16.437,0.223,8,17.139,0.173,8,NA,NA,0,16.703,0.095,14,16.103,0.139,14,15.773,0.176,4,NA,NA,0,NA,NA,0
119.440849,0.281,-28.21958,0.209,14.762,0.05,9,15.303,0.077,9,NA,NA,0,14.971,0.051,10,14.618,0.038,10,14.498,0.088,9,NA,NA,0,NA,NA,0
119.44087,1.299,-28.41648,0.504,13.396,0.078,7,14.006,0.046,7,NA,NA,0,13.658,0.04,3,13.175,0.064,3,12.939,0.047,2,13.149,0.238,7,NA,NA,0
119.440957,0.757,-28.602737,0.501,16.8,0.127,2,17.635,0.226,2,NA,NA,0,17.247,0.191,6,16.527,0.097,6,15.848,0.047,2,NA,NA,0,NA,NA,0
119.441055,0.615,-28.523161,0.421,15.944,0.067,1,17.351,0.198,1,NA,NA,0,16.875,0.147,12,15.197,0.092,12,14.464,0.223,11,NA,NA,0,NA,NA,0
119.441162,0.577,-28.363862,0.517,16.607,0.283,6,17.095,0.102,6,NA,NA,0,16.766,0.085,8,16.417,0.157,8,16.119,0.214,1,NA,NA,0,NA,NA,0
119.441257,0.608,-28.312015,0.438,15.887,0.094,10,16.408,0.113,10,NA,NA,0,16.067,0.047,10,15.73,0.107,10,15.683,0.21,5,NA,NA,0,NA,NA,0
119.44139,0.307,-28.914437,0.261,13.395,0.04,13,13.983,0.028,13,NA,NA,0,13.616,0.021,15,13.227,0.034,15,13.126,0.147,15,13.15,0.212,16,NA,NA,0
