radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
115.672421,0.337,-28.29091,0.249,14.621,0.069,5,15.999,0.043,5,NA,NA,0,15.276,0.051,5,14.154,0.013,5,13.59,0.051,5,13.174,0.106,2,NA,NA,0
115.67268,0.183,-28.482647,0.163,15.075,0.062,5,15.676,0.065,5,NA,NA,0,15.331,0.061,5,14.976,0.029,5,14.901,0.143,5,NA,NA,0,NA,NA,0
115.672727,0.419,-28.24975,0.293,17.236,0.168,1,17.567,0.174,1,NA,NA,0,17.447,0.058,2,17.137,0.061,2,NA,NA,0,NA,NA,0,NA,NA,0
115.673378,0.294,-28.52747,0.243,15.294,0.085,5,16.805,0.141,5,NA,NA,0,15.931,0.033,5,14.771,0.006,5,14.237,0.067,5,NA,NA,0,NA,NA,0
115.673661,0.457,-28.254768,0.642,16.394,0.055,3,17.377,0.131,3,NA,NA,0,16.796,0.089,5,15.937,0.086,5,15.58,0.077,4,NA,NA,0,NA,NA,0
115.673689,0.254,-28.344011,0.126,NA,NA,0,NA,NA,0,NA,NA,0,17.897,0.185,1,16.989,0.166,1,NA,NA,0,NA,NA,0,NA,NA,0
115.673867,0.371,-28.283035,0.515,15.424,0.094,5,16.082,0.045,5,NA,NA,0,15.681,0.051,5,15.176,0.021,5,15.008,0.117,5,NA,NA,0,NA,NA,0
115.674142,0.268,-28.558732,0.146,14.718,0.065,5,15.383,0.061,5,NA,NA,0,14.976,0.033,6,14.539,0.025,6,14.426,0.074,5,NA,NA,0,NA,NA,0
115.674315,0.59,-28.326765,0.299,16.935,0.19,1,17.133,0.163,1,NA,NA,0,17.399,0.065,3,16.778,0.085,3,16.406,0.235,1,NA,NA,0,NA,NA,0
115.674834,0.239,-28.415041,0.329,NA,NA,0,NA,NA,0,NA,NA,0,17.683,0.154,1,17.048,0.165,1,NA,NA,0,NA,NA,0,NA,NA,0
115.675115,0.519,-28.495425,0.234,13.849,0.014,1,14.502,0.021,1,NA,NA,0,14.177,0.012,1,13.706,0.012,1,13.515,0.023,1,13.56,0.007,2,NA,NA,0
115.675582,0.379,-28.392707,0.262,16.122,0.137,5,17.057,0.116,5,NA,NA,0,16.672,0.08,5,15.761,0.041,5,15.367,0.098,5,NA,NA,0,NA,NA,0
115.675671,0.345,-28.354429,0.347,NA,NA,0,NA,NA,0,NA,NA,0,17.596,0.064,3,16.568,0.047,3,16.077,0.168,2,NA,NA,0,NA,NA,0
115.675896,0.305,-28.538119,0.302,13.645,0.059,6,14.085,0.047,6,NA,NA,0,13.826,0.034,5,13.566,0.025,5,13.452,0.039,5,13.388,0.176,2,NA,NA,0
115.675899,0.479,-28.47154,0.261,16.699,0.095,4,17.35,0.188,4,NA,NA,0,16.991,0.059,4,16.488,0.03,4,16.297,0.21,1,NA,NA,0,NA,NA,0
115.675927,0.415,-28.332691,0.561,15.029,0.111,5,16.559,0.088,5,NA,NA,0,15.714,0.084,5,14.459,0.032,5,13.793,0.042,5,NA,NA,0,NA,NA,0
115.675998,0.287,-28.494727,0.385,13.704,0.01,1,14.571,0.014,1,NA,NA,0,13.954,0.009,1,13.591,0.01,1,13.34,0.019,1,NA,NA,0,NA,NA,0
115.676089,0.514,-28.323022,0.088,NA,NA,0,NA,NA,0,NA,NA,0,17.68,0.226,2,17.057,0.041,2,NA,NA,0,NA,NA,0,NA,NA,0
115.676279,0.749,-28.542712,0.055,NA,NA,0,NA,NA,0,NA,NA,0,17.504,0.148,1,16.677,0.123,1,NA,NA,0,NA,NA,0,NA,NA,0
115.676377,0.494,-28.533247,0.21,NA,NA,0,NA,NA,0,NA,NA,0,17.345,0.136,3,16.607,0.039,3,NA,NA,0,NA,NA,0,NA,NA,0
115.676453,0.776,-28.220047,0.351,NA,NA,0,NA,NA,0,NA,NA,0,17.55,0.007,3,16.567,0.151,3,16.36,0.189,3,NA,NA,0,NA,NA,0
115.676655,0.415,-28.211448,0.221,14.161,0.058,5,14.786,0.06,5,NA,NA,0,14.394,0.031,5,13.979,0.016,5,13.832,0.068,5,13.83,0.351,2,NA,NA,0
115.676857,0.563,-28.37495,0.318,16.589,0.049,2,17.518,0.13,2,NA,NA,0,17.051,0.188,5,16.197,0.111,5,15.682,0.104,5,NA,NA,0,NA,NA,0
