EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI
"Gaia EDR3 5602094039406399872" -0.088853 -0.195124 119.28586162482 -26.10364451835 "" "" "" "" "" "" 20.60259 0.016273 2.316242 0.09903033555431387 21.133 0.074 1.389 0.169 "" "" 2.965 0.078
"Gaia EDR3 5698186820171225472" 0.187018 0.227298 119.59232286846 -25.68110850552 "" "" "" "" "" "" 20.905157 0.01739 1.278429 0.23726259137925643 20.699 0.07 1.472 0.131 "" "" 2.363 0.074
"Gaia EDR3 5602100395962495744" 0.033878 -0.125237 119.4225105172 -26.03378665538 "" "" "" "" "" "" 20.444603 0.014791 1.810829 0.13989164870713333 20.861 0.079 -0.233 0.565 "" "" 2.288 0.078
"Gaia EDR3 5602094348648462976" -0.12619 -0.209628 119.24426590067 -26.11811498817 "" "" "" "" "" "" 20.515493 0.018167 1.836714 0.08883361816339577 20.519 0.058 1.677 0.132 "" "" 2.241 0.069
"Gaia EDR3 5601346848223185792" 0.161785 -0.193248 119.56496463203 -26.10169129077 "" "" "" "" "" "" 21.039562 0.018171 1.849426 0.15832790636208136 20.587 0.075 1.123 0.124 "" "" 2.177 0.082
"Gaia EDR3 5601350460306336384" 0.163824 -0.14015 119.56715323591 -26.04859052181 "" "" "" "" "" "" 20.619743 0.014946 1.906187 0.09160953376150321 20.481 0.044 1.127 0.111 "" "" 2.202 0.061
"Gaia EDR3 5602105206307097600" -0.144367 -0.057671 119.22422954503 -25.96613642056 "" "" "" "" "" "" 21.042252 0.019365 "" "" 20.295 0.038 1.324 0.075 "" "" 1.873 0.054
"Gaia EDR3 5601350906982923904" 0.166778 -0.084392 119.57035282357 -25.99282800288 "" "" "" "" "" "" 20.674528 0.017561 1.824787 0.13991390418396593 21.004 0.066 0.866 0.163 "" "" 2.558 0.072
"Gaia EDR3 5602119431238614016" -0.194759 0.100196 119.16846914512 -25.80819817298 "" "" "" "" "" "" 20.633915 0.018306 1.883654 0.09791988493661541 20.586 0.04 1.614 0.102 "" "" 2.057 0.045
"Gaia EDR3 5602102732407758208" 0.077217 -0.043884 119.47068306778 -25.95241305751 "" "" "" "" "" "" 20.807608 0.014725 1.969767 0.1607039431905764 20.697 0.055 2.298 0.238 "" "" 2.151 0.06
"Gaia EDR3 5602094348632287360" -0.118582 -0.216018 119.2527318432 -26.12451223244 "" "" "" "" "" "" 21.243792 0.038123 "" "" 20.764 0.059 1.829 0.207 "" "" 2.346 0.07
"Gaia EDR3 5602095860460598784" -0.224749 -0.227565 119.13446056995 -26.13590385643 "" "" "" "" "" "" 21.165493 0.025162 1.331329 0.17296773588447065 20.45 0.043 0.849 0.071 0.386 0.19 1.714 0.054
"Gaia EDR3 5601347264845657472" 0.235478 -0.165843 119.64696525549 -26.07416118207 "" "" "" "" "" "" 20.892294 0.021236 1.148565 0.7759851420871406 20.627 0.046 0.604 0.117 "" "" 2.05 0.065
"Gaia EDR3 5697428878711821184" 0.171542 -0.025913 119.57555764768 -25.93434298697 "" "" "" "" "" "" 20.973923 0.026795 2.043308 0.2138314009681459 21.225 0.067 1.182 0.121 "" "" 2.667 0.069
"Gaia EDR3 5602111322359345152" -0.233228 -0.066435 119.12537263368 -25.97475802332 "" "" "" "" "" "" 20.78124 0.020961 1.826778 0.22379415958420365 20.542 0.045 1.186 0.082 "" "" 1.789 0.05
"Gaia EDR3 5602095860459051008" -0.228846 -0.23688 119.12987615913 -26.1452115709 "" "" "" "" "" "" 20.995085 0.018609 1.881466 1.0262888876383687 20.574 0.061 1.419 0.092 "" "" 2.138 0.07
"Gaia EDR3 5602105721705786752" -0.139664 -0.008714 119.22952551311 -25.91718538897 "" "" "" "" "" "" 21.128792 0.027572 1.008675 0.4794818935194529 20.91 0.057 0.168 0.085 -0.646 0.096 0.615 0.094
"Gaia EDR3 5602104106797340160" -0.105929 -0.10055 119.26694123425 -26.00905646099 "" "" "" "" "" "" 20.61906 0.016267 1.738684 0.11108611047291196 20.801 0.066 1.452 0.155 "" "" 2.059 0.07
"Gaia EDR3 5698185961179609856" 0.046322 0.192138 119.43622069012 -25.71640747763 "" "" "" "" "" "" 21.370996 0.042545 1.301161 0.6151848199663251 20.066 0.055 1.152 0.079 0.114 0.162 0.334 0.076
"Gaia EDR3 5602098403080971904" -0.182858 -0.118035 119.18131216427 -26.02644695345 "" "" "" "" "" "" 21.023556 0.021362 0.820675 0.2114788556262777 19.896 0.123 1.114 0.153 "" "" 0.83 0.121
"Gaia EDR3 5697427744840736256" 0.191862 -0.062951 119.59822042287 -25.97134938985 "" "" "" "" "" "" 20.802544 0.040798 1.889269 0.30089051508646797 20.916 0.05 1.512 0.14 "" "" 2.547 0.067
"Gaia EDR3 5697428672553673472" 0.183734 -0.031726 119.58912539694 -25.94013725521 "" "" "" "" "" "" 21.245178 0.032227 "" "" 21.057 0.063 1.043 0.14 "" "" 2.4 0.073
"Gaia EDR3 5697429531547128704" 0.207744 0.029518 119.61570599037 -25.87885394144 "" "" "" "" "" "" 20.608185 0.014132 1.610357 0.14510942316059283 20.968 0.057 1.142 0.13 "" "" 2.296 0.067
"Gaia EDR3 5601351594177921664" 0.13182 -0.08661 119.53146403568 -25.99509079887 "" "" "" "" "" "" 20.94576 0.014923 1.786316 0.2763488023386387 20.78 0.054 1.751 0.17 "" "" 1.941 0.061
"Gaia EDR3 5697428294596269824" 0.230126 -0.024205 119.64069858214 -25.93253457286 "" "" "" "" "" "" 21.127007 0.024936 0.942696 0.23495601555397555 21.04 0.055 0.482 0.104 "" "" 2.231 0.064
"Gaia EDR3 5602104725289572736" -0.081545 -0.055781 119.29410682943 -25.96430753607 "" "" "" "" "" "" 20.71668 0.013617 1.891514 0.14458639911831267 20.73 0.058 1.381 0.116 0.982 0.602 1.933 0.068
"Gaia EDR3 5601345306340091136" 0.139035 -0.233779 119.53968433323 -26.14225061635 "" "" "" "" "" "" 20.976593 0.014124 1.418484 0.1982566792821871 21.308 0.094 -0.291 0.127 "" "" 2.206 0.098
"Gaia EDR3 5602107370972447872" 0.018038 0.07797 119.40484668765 -25.83058317911 "" "" "" "" "" "" 21.124063 0.023351 1.440897 0.14698749318564486 21.47 0.103 1.34 0.2 "" "" 2.548 0.103
"Gaia EDR3 5602099846190052096" -0.01285 -0.169863 119.37050022346 -26.07841695255 "" "" "" "" "" "" 20.998205 0.049385 1.417278 0.14882448714173352 20.563 0.069 1.813 0.172 "" "" 1.552 0.076
"Gaia EDR3 5601350906978209664" 0.16792 -0.090408 119.57163334558 -25.99884297736 "" "" "" "" "" "" 21.182495 0.04979 2.878563 0.40009349372365455 21.347 0.083 1.28 0.181 "" "" 2.531 0.088
