EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5600800360892844416,0.043841,0.234286,119.77140173004,-28.34043855542,0.3643,0.0504,-4.765,0.045,4.581,0.056,16.880907,0.002817,1.103907,0.008943949071858583,17.104,0.01,0.926,0.02,0.188,0.023,0.967,0.017
Gaia EDR3 5597782167116698496,-0.027027,-0.133624,119.6907747225,-28.70835370268,-0.0301,0.1743,-0.62,0.144,4.148,0.162,16.878555,0.003492,1.144859,0.006959796692432905,17.105,0.008,0.858,0.011,0.233,0.012,1.018,0.014
Gaia EDR3 5597407955206794624,-0.198624,-0.21578,119.49495164015,-28.79032537533,0.376,0.051,-0.18,0.043,2.505,0.049,16.793867,0.002801,1.216667,0.006867778461773501,17.105,0.01,0.928,0.014,0.317,0.017,1.084,0.02
Gaia EDR3 5597820478225794560,0.210161,0.222497,119.96039631818,-28.35202770628,0.2607,0.0529,-2.952,0.041,3.451,0.054,16.872046,0.002805,1.009975,0.009824313207547895,17.105,0.011,0.822,0.019,0.156,0.022,0.889,0.022
Gaia EDR3 5600792286354502400,-0.035022,0.137058,119.68176269228,-28.43766896107,0.406,0.0538,-5.574,0.044,1.41,0.057,16.847998,0.002809,1.133797,0.012178728053454517,17.105,0.01,0.858,0.018,0.381,0.034,0.969,0.015
Gaia EDR3 5597787217997807616,-0.122402,-0.018448,119.58218625179,-28.593109869,0.3058,0.0531,-1.362,0.046,2.175,0.05,16.790829,0.0028,1.235663,0.008090314332583129,17.106,0.007,1.012,0.011,0.509,0.012,1.099,0.011
Gaia EDR3 5597790447813379712,0.160412,0.02643,119.90420559915,-28.548181445,0.3567,0.0495,-2.53,0.043,2.94,0.052,16.81135,0.002807,1.102463,0.007342292625604076,17.106,0.01,0.803,0.014,0.266,0.015,1.02,0.014
Gaia EDR3 5597777940868643072,0.173948,-0.048159,119.91975553238,-28.62274801573,0.415,0.0516,-5.992,0.046,5.428,0.055,16.842033,0.002807,1.174351,0.007863332753991783,17.106,0.01,0.951,0.015,0.404,0.018,1.034,0.016
Gaia EDR3 5597769110416131072,0.009256,-0.22117,119.7321522392,-28.79590260344,0.7006,0.0521,-8.307,0.042,6.043,0.047,16.805887,0.002806,1.165573,0.006761179261046109,17.106,0.009,0.955,0.015,0.907,0.02,1.026,0.02
Gaia EDR3 5600796959279054592,-0.17714,0.200684,119.52026379118,-28.37390110328,0.5273,0.0493,-3.223,0.04,-4.473,0.046,16.829157,0.002804,1.188972,0.007232509384715653,17.106,0.013,0.968,0.027,0.496,0.028,1.008,0.016
Gaia EDR3 5597770416085982976,0.194719,-0.166697,119.94366871838,-28.74124911998,0.4376,0.0526,-2.047,0.045,2.112,0.054,16.85455,0.002813,1.037376,0.007750825052857277,17.106,0.01,0.827,0.023,0.331,0.031,0.918,0.02
Gaia EDR3 5597782506403296896,-0.006979,-0.118985,119.71363384794,-28.69371777645,0.4698,0.0519,-1.607,0.043,-1.585,0.046,16.811077,0.002809,1.163145,0.008801262182210005,17.107,0.006,0.897,0.01,0.292,0.013,1.03,0.012
Gaia EDR3 5597405721823662208,-0.071672,-0.214116,119.63981058231,-28.78882445478,0.6682,0.059,-7.907,0.049,3.896,0.055,16.831217,0.002825,1.189293,0.0073809653162713075,17.107,0.009,0.958,0.012,0.685,0.016,1.034,0.028
