EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP V eV BV eBV UB eUB VI eVI probs_final membs_select
"Gaia EDR3 5599919926957072640" -0.007534 0.01571 116.1922837668 -28.35732261644 0.334402 0.0438 -1.844 0.036 1.78 0.043 16.4849 0.0028 1.046246 0.009443939114585609 16.676 0.022 0.632 0.029 0.432 0.031 1.028 0.03 1.0 1
"Gaia EDR3 5599921748023119360" 0.062483 0.077132 116.27180706345 -28.29588254937 0.311685 0.0214 -1.879 0.017 1.715 0.021 14.778955 0.002765 0.930065 0.004891519293634647 14.896 0.02 0.575 0.028 0.335 0.029 0.893 0.028 0.99 1
"Gaia EDR3 5599871750298561408" 0.084009 -0.042823 116.29636250447 -28.41582247124 0.31997600000000004 0.0699 -1.801 0.055 1.785 0.065 17.371626 0.002854 1.300839 0.012990213431656924 17.647 0.029 0.889 0.045 0.338 0.056 1.239 0.036 0.99 1
"Gaia EDR3 5599919823877881472" -0.035563 0.022619 116.1604353827 -28.35040848652 0.277894 0.0376 -1.851 0.032 1.688 0.036 16.184713 0.002787 1.031677 0.00605498117255537 16.332 0.019 0.664 0.032 0.404 0.035 0.956 0.031 1.0 1
"Gaia EDR3 5599873472588907264" 0.088618 -0.017608 116.30157860676 -28.39060366968 0.266343 0.0338 -1.821 0.028 1.813 0.033 15.992 0.002784 1.050047 0.007479770651564124 16.187 0.025 0.6 0.035 0.478 0.039 1.02 0.031 0.99 1
"Gaia EDR3 5599923637808817792" -0.051048 0.091911 116.14287836751 -28.28110972489 0.274551 0.0517 -1.794 0.043 1.804 0.05 16.889395 0.002814 1.223494 0.00765314164248905 17.164 0.021 0.752 0.032 0.453 0.045 1.159 0.03 0.99 1
"Gaia EDR3 5599871342285140224" 0.000648 -0.081988 116.2015820063 -28.45502052485 0.288045 0.0205 -1.892 0.016 1.719 0.021 14.981829 0.002772 0.754495 0.004929328554681662 15.099 0.025 0.329 0.032 0.194 0.033 0.79 0.033 1.0 1
"Gaia EDR3 5599912951930326272" -0.093561 -0.085895 116.09442418346 -28.45888674431 0.339377 0.0839 -1.828 0.068 1.728 0.08 17.659504 0.002893 1.314218 0.014886056462340858 17.937 0.029 0.823 0.04 0.235 0.053 1.34 0.042 0.99 1
"Gaia EDR3 5599919583359735168" -0.043538 -0.001426 116.15136229833 -28.37444993738 0.332487 0.0363 -1.802 0.029 1.722 0.036 16.133568 0.002784 0.987854 0.0056396044187513724 16.274 0.022 0.622 0.032 0.373 0.036 0.946 0.031 1.0 1
"Gaia EDR3 5599918346409169792" -0.021485 -0.069921 116.17641026482 -28.44295189229 0.262971 0.0316 -1.897 0.025 1.767 0.032 15.869292 0.002779 0.827474 0.005752401672345212 15.993 0.026 0.477 0.034 0.288 0.036 0.859 0.031 1.0 1
"Gaia EDR3 5599919308482205824" 0.019647 0.020259 116.22317010928 -28.35277265951 0.285858 0.043 -1.766 0.036 1.728 0.043 16.324041 0.002792 1.211108 0.006198324370343972 16.56 0.019 0.746 0.027 0.549 0.036 1.128 0.031 1.0 1
"Gaia EDR3 5599918690007541504" -0.008136 -0.03538 116.19159505137 -28.40841233409 0.30445500000000003 0.0511 -1.887 0.043 1.788 0.049 16.734625 0.002828 1.218645 0.008941233583795918 17.009 0.028 0.734 0.036 0.441 0.043 1.172 0.031 1.0 1
"Gaia EDR3 5599918690006525312" -0.012441 -0.034863 116.18670088153 -28.40789500368 0.302218 0.0448 -1.855 0.036 1.817 0.042 16.469648 0.002795 1.016021 0.006517727824940222 16.657 0.022 0.644 0.032 0.429 0.041 0.982 0.029 1.0 1
"Gaia EDR3 5599918964884357120" 0.048044 -0.009492 116.25545380082 -28.38251407748 0.333858 0.0731 -1.872 0.06 1.778 0.07 17.235004 0.002872 1.272781 0.019087263528332187 17.525 0.026 0.733 0.037 0.447 0.045 1.256 0.033 1.0 1
"Gaia EDR3 5599919995676561920" -0.020533 0.01607 116.17751188107 -28.3569605924 0.24149500000000002 0.0341 -1.844 0.029 1.809 0.033 15.965419 0.002786 0.913022 0.005536242949871329 16.085 0.023 0.548 0.032 0.364 0.032 0.841 0.042 1.0 1
"Gaia EDR3 5599919755158448384" -0.071251 0.008707 116.11987272173 -28.36430173564 0.336687 0.0474 -1.799 0.039 1.783 0.049 16.6059 0.002803 1.086377 0.006634202438876884 16.802 0.024 0.703 0.035 0.433 0.039 1.042 0.035 1.0 1
"Gaia EDR3 5599871823321471872" 0.052082 -0.063138 116.26007323587 -28.43615843681 0.22509099999999999 0.0524 -1.79 0.042 1.724 0.052 16.418015 0.002849 1.012085 0.014108404055739258 16.475 0.027 0.626 0.04 0.384 0.042 0.967 0.038 0.99 1
"Gaia EDR3 5599864951374117632" -0.013877 -0.166846 116.18504902309 -28.53987841174 0.344769 0.0755 -1.803 0.062 1.77 0.07 17.454592 0.002862 1.231792 0.011201098919302516 17.656 0.042 0.777 0.054 0.341 0.049 1.286 0.049 0.99 1
"Gaia EDR3 5599916765861253760" -0.105398 -0.011669 116.08104412079 -28.38464921887 0.33565500000000004 0.0634 -1.883 0.053 1.756 0.06 17.193619 0.00284 1.246409 0.008262103364156129 17.468 0.026 0.801 0.035 0.341 0.041 1.272 0.036 0.99 1
"Gaia EDR3 5599864882654672384" -0.052782 -0.150142 116.14077236451 -28.52316188523 0.310253 0.0629 -1.897 0.051 1.779 0.059 17.101349 0.002827 1.199675 0.00828514121786708 17.334 0.04 0.727 0.052 0.3 0.051 1.265 0.049 0.99 1
"Gaia EDR3 5599919407257188608" -0.038443 -0.025361 116.15714366173 -28.39838702174 0.22426700000000002 0.1303 -1.885 0.106 1.778 0.13 18.350727 0.003142 1.443409 0.024394569395666733 18.73 0.037 1.01 0.052 0.346 0.077 1.457 0.044 1.0 1
"Gaia EDR3 5599919441615530368" -0.055973 -0.016307 116.13722025568 -28.38932474754 0.291285 0.0866 -1.767 0.074 1.788 0.082 17.727072 0.002902 1.38332 0.012074890392877279 18.072 0.031 0.912 0.047 0.345 0.055 1.398 0.04 1.0 1
"Gaia EDR3 5599919892597370624" -0.050886 0.030066 116.14302837733 -28.34295506767 0.22817 0.037 -1.884 0.031 1.721 0.035 16.198603 0.002788 1.034273 0.005852310483902918 16.37 0.021 0.642 0.033 0.384 0.036 0.962 0.035 1.0 1
"Gaia EDR3 5599919583359737472" -0.043587 -0.005596 116.15130491039 -28.37861986843 0.238366 0.0602 -1.895 0.049 1.783 0.06 17.06978 0.002835 1.362684 0.007247828502386077 17.358 0.027 0.963 0.039 0.304 0.045 1.309 0.036 1.0 1
"Gaia EDR3 5599920957749149952" 0.053694 0.057546 116.26183674645 -28.31547293232 0.249637 0.0314 -1.903 0.026 1.746 0.031 15.784746 0.002779 0.887857 0.005528995749681854 15.908 0.018 0.523 0.026 0.419 0.032 0.867 0.025 0.99 1
"Gaia EDR3 5599918861805160704" 0.041764 -0.031494 116.24832542394 -28.40451839796 0.353636 0.051 -1.804 0.042 1.751 0.052 16.760887 0.002812 1.056017 0.007860739214603167 16.964 0.022 0.686 0.031 0.424 0.045 1.026 0.03 1.0 1
"Gaia EDR3 5599920231889778304" -0.018648 0.048217 116.1796612565 -28.32481467455 0.230157 0.0909 -1.768 0.074 1.734 0.085 17.817015 0.002929 1.394934 0.01565384109412128 18.11 0.031 0.92 0.042 0.312 0.047 1.303 0.04 1.0 1
"Gaia EDR3 5599919411561044736" -0.031193 -0.026598 116.16538479967 -28.39962616478 0.368387 0.0318 -1.824 0.026 1.744 0.031 15.853013 0.002778 1.022812 0.005287986478802683 16.048 0.024 0.63 0.031 0.325 0.037 1.007 0.032 1.0 1
"Gaia EDR3 5599919475975268608" -0.043172 -0.015092 116.15177199261 -28.38811624891 0.347032 0.1899 -1.806 0.154 1.774 0.185 18.859686 0.003346 1.55007 0.037173116697419926 19.218 0.039 1.068 0.057 0.544 0.101 1.457 0.05 1.0 1
"Gaia EDR3 5599922911949423104" -0.061647 0.050048 116.13081414114 -28.3229671417 0.23071799999999998 0.1004 -1.819 0.085 1.819 0.102 17.967089 0.002956 1.38818 0.0181753297081511 18.31 0.029 0.913 0.043 0.348 0.061 1.34 0.039 1.0 1
"Gaia EDR3 5599871342285140480" 0.003679 -0.093776 116.20503000061 -28.466808748 0.315655 0.0324 -1.865 0.026 1.68 0.031 15.978551 0.002781 0.838196 0.005408664345288955 16.113 0.034 0.453 0.042 0.313 0.039 0.898 0.04 1.0 1
