id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
13632 3164.92 4076.76 20.199 0.025 1.355 0.065 "" "" 1.593 0.08 116.0470037581082 -28.12825186828112 5.8756
17637 4032.92 693.194 20.847 0.04 1.047 0.08 "" "" 1.696 0.064 115.93128622048026 -28.53877622732082 5.9693
4645 3706.97 136.005 18.18 0.022 1.51 0.054 0.796 0.099 1.86 0.042 115.97653162544987 -28.60594347539898 5.2629
18194 191.124 478.877 20.827 0.067 1.327 0.137 "" "" 1.53 0.078 116.45834299106883 -28.56115658915371 5.5777
11382 1356.97 162.306 19.739 0.053 1.343 0.085 0.066 0.148 1.437 0.063 116.2987743420453 -28.600574090367914 6.2769
18378 4037.72 228.095 20.896 0.039 1.217 0.114 -0.248 0.422 1.551 0.065 115.93108379539787 -28.595099726652627 5.8614
18444 920.196 131.638 21.122 0.102 1.616 0.229 "" "" 1.882 0.107 116.35870163211007 -28.603881661747064 14.5564
7704 667.141 48.576 19.065 0.052 1.991 0.083 0.914 0.23 1.994 0.062 116.3934858692433 -28.613704432225767 7.3048
14384 319.521 731.451 20.378 0.069 1.491 0.12 "" "" 1.676 0.073 116.44048766258722 -28.530691654522574 6.1764
19030 3988.46 193.863 21.079 0.06 0.799 0.196 "" "" 1.682 0.088 115.9378726410101 -28.599199101566516 5.0913
