EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI,probs_final,membs_select
Gaia EDR3 5538149771717897984,-0.01986,-0.030589,118.57144328417,-38.24307024527,-0.0014,0.1451,-1.478,0.144,2.161,0.151,18.537853,0.00321,0.987928,0.0223291631952476,18.621,0.035,0.627,0.042,0.495,0.053,0.777,0.043,0.98,1
Gaia EDR3 5538149531199694592,0.005773,-0.044037,118.60408211489,-38.2565212214,0.0479,0.1351,-1.164,0.146,2.333,0.16,18.507854,0.003275,0.913298,0.03099328682150378,18.61,0.032,0.571,0.039,0.369,0.045,0.855,0.04,1.0,1
Gaia EDR3 5538151111747770880,0.012111,-0.006217,118.61214462239,-38.21870002715,0.1335,0.2814,-1.478,0.282,2.294,0.295,19.486195,0.0044,1.308718,0.054535101833589714,19.729,0.03,0.849,0.042,0.346,0.093,1.108,0.039,1.0,1
Gaia EDR3 5538151081692704128,0.004741,-0.021764,118.60276525652,-38.23424839577,0.0023,0.1767,-1.408,0.175,2.362,0.185,18.789455,0.003478,0.950521,0.030615825727881324,18.962,0.028,0.558,0.033,0.46,0.054,0.866,0.036,1.0,1
Gaia EDR3 5538151077387983360,-0.003939,-0.021999,118.59171477291,-38.2344829638,0.054,0.1439,-1.139,0.145,2.087,0.163,18.497702,0.003203,1.325562,0.024643557880306165,18.8,0.027,0.79,0.035,0.445,0.056,1.192,0.033,1.0,1
Gaia EDR3 5538151111747771392,0.009572,-0.005757,118.60891342174,-38.21824053917,0.0876,0.346,-1.447,0.325,2.045,0.398,19.6934,0.004526,1.539535,0.058928664417242656,20.029,0.036,0.991,0.053,0.167,0.121,1.275,0.045,1.0,1
Gaia EDR3 5538149599919227392,-0.003965,-0.024996,118.59168186928,-38.23748039467,0.2662,0.1038,-1.297,0.103,2.311,0.119,18.043358,0.003043,0.927958,0.01730361179060603,18.17,0.026,0.52,0.031,0.42,0.034,0.802,0.035,1.0,1
Gaia EDR3 5538148740927795584,0.005753,-0.067976,118.60405841987,-38.2804600303,0.1168,0.1034,-1.358,0.106,2.41,0.119,18.055527,0.003048,0.991528,0.018021637883388956,18.176,0.032,0.604,0.042,0.345,0.044,0.927,0.037,0.98,1
Gaia EDR3 5538150321473737984,0.044097,-0.023422,118.65287061686,-38.235893448,0.2445,0.1576,-1.394,0.153,2.092,0.169,18.428415,0.003351,1.173744,0.025029704852434838,18.639,0.026,0.673,0.033,0.581,0.047,1.049,0.034,1.0,1
Gaia EDR3 5538151047329264384,0.022645,-0.013024,118.6255561653,-38.22550436642,-0.0133,0.1352,-1.318,0.139,2.404,0.156,18.324669,0.003563,0.973848,0.022549738313337474,18.454,0.026,0.605,0.031,0.482,0.038,0.87,0.035,1.0,1
Gaia EDR3 5538149806077678720,-0.020476,-0.016949,118.57066368123,-38.2294304209,0.0583,0.1598,-1.138,0.168,2.049,0.19,18.759356,0.003396,0.946774,0.03323376007917251,18.849,0.033,0.604,0.041,0.431,0.055,0.796,0.042,1.0,1
Gaia EDR3 5538151081692708736,0.00012,-0.02049,118.59688333538,-38.23297472004,0.2928,0.1822,-1.406,0.175,2.267,0.187,18.807621,0.003376,1.896788,0.04747137479576508,19.404,0.03,1.382,0.044,,,1.689,0.037,1.0,1
Gaia EDR3 5538151043028272768,0.013884,-0.017832,118.61440477975,-38.23031505804,0.1823,0.1612,-1.422,0.159,2.393,0.175,18.779528,0.00338,0.91968,0.026404717798151147,18.892,0.03,0.549,0.036,0.45,0.058,0.777,0.04,1.0,1
Gaia EDR3 5538149496842073728,-0.012864,-0.054284,118.58034555337,-38.26676754156,0.0175,0.1229,-1.224,0.129,2.434,0.129,18.309134,0.003146,1.040422,0.02117404082833506,18.442,0.033,0.679,0.041,0.444,0.047,0.975,0.041,0.98,1
Gaia EDR3 5538149531201817600,0.002083,-0.047651,118.59938281724,-38.26013528017,0.2294,0.2372,-1.383,0.24,2.399,0.26,19.287632,0.003863,1.115639,0.05584865163099285,19.465,0.041,0.733,0.052,0.389,0.094,1.018,0.052,1.0,1
Gaia EDR3 5538150218394492160,0.033232,-0.035748,118.63904534661,-38.24822427065,-0.0984,0.2205,-1.475,0.217,2.142,0.232,19.202131,0.003803,1.34491,0.034292118103144344,19.508,0.036,0.883,0.046,0.247,0.076,1.199,0.046,1.0,1
Gaia EDR3 5538150733790659200,0.058964,-0.003067,118.67177707308,-38.21552758814,-0.0144,0.2032,-1.074,0.197,2.234,0.207,18.885414,0.00356,0.983011,0.029281189354259503,19.066,0.029,0.664,0.035,0.47,0.073,0.93,0.042,0.95,1
Gaia EDR3 5538151012969607936,0.007831,-0.024668,118.60669979636,-38.23715210788,0.1325,0.2123,-1.075,0.207,2.31,0.239,19.164433,0.003652,1.010845,0.03773310674990863,19.41,0.033,0.599,0.04,0.569,0.069,0.947,0.045,1.0,1
Gaia EDR3 5538151047329313536,0.016767,-0.024793,118.6180773151,-38.23727501181,0.2142,0.1313,-1.519,0.135,2.115,0.147,18.514545,0.003197,0.998282,0.022701344035100653,18.683,0.03,0.595,0.035,0.469,0.05,0.879,0.04,1.0,1
Gaia EDR3 5538151489704981888,0.005063,0.025287,118.60317158711,-38.18719750839,-0.1231,0.1846,-1.473,0.194,2.195,0.211,18.907885,0.003566,1.021133,0.03497947115094795,19.056,0.021,0.595,0.029,0.582,0.06,0.83,0.03,0.95,1
Gaia EDR3 5538150291415066752,0.02056,-0.030424,118.62290781266,-38.24290565439,-0.0246,0.1046,-1.186,0.106,1.997,0.117,18.099344,0.003002,0.920349,0.03951043721600661,18.216,0.03,0.517,0.036,0.24,0.085,0.747,0.04,1.0,1
Gaia EDR3 5538151047329319168,0.017101,-0.027693,118.61850324622,-38.24017498198,-0.0682,0.3199,-1.335,0.318,2.425,0.356,19.742823,0.004674,1.27648,0.0682681645278383,20.223,0.05,0.617,0.066,0.327,0.12,1.369,0.058,1.0,1
Gaia EDR3 5538151047329302912,0.017143,-0.020107,118.61855383237,-38.23258905265,-0.02,0.3093,-1.159,0.33,2.004,0.33,19.714653,0.004605,1.2801,0.06699460220793911,19.968,0.035,0.805,0.052,0.434,0.138,1.152,0.046,1.0,1
Gaia EDR3 5538150360134422400,0.045419,-0.019069,118.65455031771,-38.23153873598,0.1131,0.291,-1.549,0.293,2.329,0.283,19.457829,0.004219,,,19.704,0.038,0.759,0.05,0.29,0.115,1.3,0.046,1.0,1
Gaia EDR3 5538151047329324160,0.011135,-0.019163,118.61090558149,-38.2316462069,0.1803,0.0993,-1.061,0.093,2.13,0.087,17.42352,0.003057,,,17.55,0.037,0.529,0.048,0.296,0.056,0.749,0.045,1.0,1
Gaia EDR3 5538151146109541376,0.025632,-0.006796,118.62935566347,-38.21927607274,0.2468,0.0952,-1.533,0.098,2.202,0.107,17.98545,0.003024,0.840822,0.017648939259910214,18.106,0.024,0.41,0.028,0.32,0.034,0.711,0.032,1.0,1
Gaia EDR3 5538151287851138688,-0.006919,-0.007542,118.58792284556,-38.22002579853,0.033,0.4216,-1.275,0.418,1.933,0.457,20.01013,0.005558,1.289721,0.09697987022573293,20.252,0.037,0.797,0.057,,,1.133,0.047,1.0,1
Gaia EDR3 5538151111747759488,0.007351,-0.010076,118.60608731573,-38.22255964573,0.2837,0.143,-1.507,0.146,2.183,0.157,18.604618,0.003247,1.056076,0.025996869503846033,18.781,0.027,0.592,0.034,0.507,0.047,0.879,0.037,1.0,1
Gaia EDR3 5538149535504486912,0.001109,-0.031889,118.59814156187,-38.24437281454,0.3163,0.0809,-1.151,0.085,2.163,0.091,17.580984,0.002933,0.919121,0.011206033598022094,17.728,0.027,0.521,0.033,0.281,0.036,0.812,0.035,1.0,1
Gaia EDR3 5538151077388006144,0.001881,-0.01437,118.59912496399,-38.22685429526,0.1432,0.17,-1.339,0.173,1.926,0.19,18.870283,0.003419,1.086363,0.03524510419902316,19.051,0.033,0.672,0.039,0.494,0.056,0.971,0.04,1.0,1
Gaia EDR3 5538150394494208256,0.033108,-0.018865,118.63887835808,-38.23134183102,0.2012,0.0941,-1.048,0.096,2.164,0.1,17.890907,0.002988,0.810358,0.013774720505331496,18.025,0.027,0.435,0.032,0.355,0.035,0.713,0.036,1.0,1
Gaia EDR3 5538151283546461952,-0.000763,-0.006067,118.59575905843,-38.21855169142,0.3675,0.1923,-1.313,0.192,2.142,0.229,18.953773,0.003414,1.641922,0.036461976166960564,19.418,0.029,1.104,0.043,0.609,0.119,1.517,0.037,0.99,1
Gaia EDR3 5538151111747752192,0.010702,-0.012413,118.61035352278,-38.22489694637,-0.0637,0.1275,-1.228,0.129,2.448,0.154,18.397116,0.00313,1.071112,0.021511912095394964,18.597,0.028,0.63,0.033,0.485,0.044,0.953,0.035,1.0,1
Gaia EDR3 5538151219131617152,0.023838,0.010037,118.62706546183,-38.20244356505,0.0927,0.1399,-1.436,0.146,2.476,0.158,18.537449,0.003213,1.055208,0.02587183234716861,18.747,0.026,0.58,0.03,0.567,0.051,0.908,0.035,0.99,1
Gaia EDR3 5538151012969602944,0.013706,-0.032389,118.61418172541,-38.24487217169,0.1869,0.1372,-1.025,0.141,2.233,0.154,18.584604,0.003217,0.965656,0.03269762957769263,18.719,0.032,0.555,0.039,0.43,0.051,0.95,0.04,1.0,1
Gaia EDR3 5538150291418708224,0.020723,-0.030927,118.62311546923,-38.24340856554,-0.0778,0.1402,-1.235,0.143,2.455,0.15,18.518732,0.00328,,,18.74,0.048,0.634,0.057,,,0.957,0.053,1.0,1
Gaia EDR3 5538150291415027200,0.024835,-0.019771,118.62834595213,-38.23225084213,0.2545,0.1313,-1.194,0.141,1.976,0.147,18.46518,0.003216,0.822268,0.021729726183272537,18.575,0.027,0.452,0.031,0.419,0.039,0.713,0.038,1.0,1
Gaia EDR3 5538149496839939072,-0.005108,-0.049256,118.5902244064,-38.26174041437,0.3785,0.1977,-1.383,0.189,2.258,0.217,18.957449,0.003633,1.115459,0.03161452623399567,19.085,0.036,0.72,0.044,0.513,0.062,1.021,0.043,0.99,1
Gaia EDR3 5538150016537119744,0.045501,-0.057953,118.65468570675,-38.27042341833,0.0601,0.6722,-1.418,0.691,1.915,0.695,20.491611,0.007302,1.446598,0.18036658863825086,20.778,0.057,0.783,0.093,,,1.292,0.069,0.99,1
Gaia EDR3 5538150394497905536,0.031873,-0.022718,118.63730745296,-38.23519547648,-0.1994,0.1454,-1.43,0.187,2.26,0.122,18.11627,0.003522,,,17.325,0.037,0.442,0.047,0.312,0.046,0.457,0.048,1.0,1
Gaia EDR3 5538151146107498112,0.023544,-0.011093,118.62669923437,-38.22357333723,0.035,0.115,-1.253,0.119,1.898,0.128,18.312468,0.003128,0.813332,0.015888957832406757,18.471,0.023,0.407,0.028,0.386,0.04,0.724,0.035,1.0,1
Gaia EDR3 5538150115315255552,0.057319,-0.041571,118.66972231106,-38.2540323611,0.1057,0.1226,-1.141,0.121,2.474,0.141,18.351126,0.003073,0.892178,0.02360099754247689,18.513,0.03,0.462,0.037,0.381,0.044,0.818,0.039,0.97,1
Gaia EDR3 5538150218394473472,0.039408,-0.04044,118.64691259685,-38.25291316769,0.396,0.231,-1.254,0.225,2.291,0.242,19.165548,0.003925,1.003401,0.03953157434254295,19.33,0.034,0.653,0.042,0.583,0.089,0.972,0.045,0.95,1
Gaia EDR3 5538151111747795072,0.007734,0.001368,118.60657314251,-38.21111599295,-0.0893,0.2055,-1.535,0.207,2.377,0.22,19.096985,0.003637,1.352898,0.03757775022536607,19.414,0.031,0.799,0.042,0.413,0.081,1.18,0.041,1.0,1
Gaia EDR3 5538150252754195456,0.01979,-0.047894,118.62193374012,-38.26037560842,0.2182,0.1173,-1.307,0.129,2.524,0.134,18.252695,0.003131,0.958361,0.024506115257216923,18.401,0.031,0.583,0.038,0.482,0.044,0.872,0.04,1.0,1
Gaia EDR3 5538148779591118592,0.013008,-0.052409,118.61329754753,-38.26489223142,0.1111,0.1247,-1.42,0.124,1.876,0.137,18.338306,0.00314,0.859549,0.02171867677829384,18.454,0.03,0.508,0.037,0.339,0.046,0.792,0.04,1.0,1
Gaia EDR3 5538149806077671808,-0.009719,-0.019594,118.58435665957,-38.23207799513,0.3006,0.1039,-1.051,0.107,2.071,0.113,18.055632,0.003077,1.531174,0.019315561084265714,18.459,0.024,1.059,0.03,0.631,0.063,1.349,0.033,0.97,1
Gaia EDR3 5538150252756327296,0.011829,-0.040101,118.61179278603,-38.25258462423,0.3428,0.2739,-1.109,0.326,2.372,0.325,19.44085,0.004225,1.591867,0.061385036947125805,19.831,0.038,1.079,0.056,0.42,0.15,1.375,0.049,0.98,1
Gaia EDR3 5538151111747766912,0.003821,-0.007202,118.60159402784,-38.21968621548,0.1083,0.0901,-1.597,0.091,1.977,0.099,17.847557,0.002951,1.437181,0.020141016980281805,18.218,0.025,0.964,0.031,0.533,0.053,1.289,0.033,1.0,1
Gaia EDR3 5538150257055843328,0.019436,-0.045274,118.62148196282,-38.25775594925,0.2587,0.9696,-1.614,0.784,2.333,0.878,20.626656,0.008297,1.372257,0.13479905344252235,20.825,0.06,0.962,0.091,,,1.225,0.079,1.0,1
Gaia EDR3 5538149874797180800,-0.018879,-0.008121,118.57269950678,-38.22060269078,0.4197,0.223,-1.163,0.231,2.122,0.26,19.232561,0.003771,1.128193,0.05135507316711758,19.421,0.03,0.672,0.038,0.455,0.069,1.022,0.041,0.94,1
Gaia EDR3 5538151317908235136,0.000514,-0.003501,118.59738367053,-38.21598577434,0.4438,0.3935,-1.41,0.386,2.138,0.399,19.90835,0.005027,1.600569,0.09362203634294651,20.41,0.037,1.129,0.065,,,1.548,0.05,0.96,1
Gaia EDR3 5538151111747750656,0.008622,-0.012749,118.60770548845,-38.22523321027,-0.0164,0.1906,-1.182,0.189,2.552,0.224,18.984196,0.003527,1.268434,0.034164639278060585,19.278,0.033,0.711,0.042,0.526,0.097,1.117,0.043,1.0,1
Gaia EDR3 5538151047332941184,0.019579,-0.010267,118.6216516867,-38.22274835555,0.282,0.0339,-1.232,0.035,1.885,0.038,16.09145,0.002791,1.83449,0.006122682826996675,16.707,0.024,1.347,0.028,1.146,0.033,1.649,0.035,1.0,1
