id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
1215 1689.57 4073.55 17.217 0.218 -0.1 0.281 0.117 0.208 3.244 0.208 118.49189043117637 -26.70929269706464 11.6203
1458 1443.3 3125.87 18.022 0.212 1.3 0.446 "" "" 3.656 0.201 118.52634366018175 -26.823597482262077 12.0922
583 909.827 4047.35 14.95 0.051 0.546 0.057 0.334 0.03 1.226 0.058 118.59765896581722 -26.71168333581591 10.0369
2180 278.705 4082.19 16.24 0.058 2.76 0.205 "" "" 1.487 0.07 118.68320523292685 -26.70684377780545 5.5111
1159 3359.76 3857.08 15.796 0.018 0.628 0.023 0.045 0.023 "" "" 118.26564093091284 -26.737121045488088 11.3910
2787 3042.9 4089.9 18.421 0.158 -0.011 0.214 "" "" 3.318 0.153 118.3083499553019 -26.70866369468663 10.6470
2760 3051.31 2553.35 19.096 0.258 0.875 0.451 "" "" 3.816 0.245 118.30892340829735 -26.894401147344293 7.2590
3229 926.682 4066.8 17.191 0.105 0.464 0.177 -0.082 0.168 0.981 0.133 118.59535159953977 -26.70934911456287 10.3617
3364 565.556 3612.46 18.165 0.082 0.731 0.192 "" "" 2.842 0.082 118.64482992273966 -26.763907533793578 9.8042
3781 863.478 3797.85 17.601 0.076 0.383 0.11 0.103 0.106 "" "" 118.604222556372 -26.74179527871181 12.7031
5027 319.092 3960.62 18.629 0.129 -0.07 0.139 1.005 0.06 3.627 0.13 118.67786403963218 -26.72157864742519 7.3110
6885 1449.31 4059.19 18.102 0.204 0.896 0.297 -0.088 0.286 0.988 0.222 118.52448760268949 -26.710789261450955 10.7569
7025 1157.35 3701.1 19.223 0.274 -0.122 0.368 0.193 0.266 "" "" 118.56447910968605 -26.75378240694867 6.8901
7292 2062.29 4051.2 19.223 0.183 -0.414 0.249 "" "" "" "" 118.44137158477082 -26.712365289176507 10.1336
8384 116.212 3899.91 18.639 0.153 1.649 0.174 -0.991 0.084 2.304 0.164 118.70544388808807 -26.72871493894082 11.9635
8504 1473.18 3888.11 19.027 0.103 0.217 0.146 0.778 0.147 "" "" 118.52144147005669 -26.73149216390576 17.0650
9056 1231.32 3970.22 19.164 0.164 0.313 0.2 0.251 0.133 1.013 0.197 118.55414800858496 -26.721326412147135 9.7491
309 4074.6 1936.37 14.33 0.026 0.319 0.034 0.091 0.037 0.897 0.039 118.17084539944629 -26.969996764478324 7.7060
9332 1551.01 3988.39 19.512 0.12 -0.068 0.15 0.501 0.144 1.138 0.215 118.51077525182568 -26.719448392922757 13.8539
9738 1285.08 4001.13 19.052 0.176 0.338 0.333 0.202 0.361 0.916 0.228 118.54682324993917 -26.717643714105836 16.5725
10275 1979.19 4076.42 19.477 0.199 0.105 0.287 0.673 0.249 "" "" 118.45261247004746 -26.709234115616862 12.7443
3848 3898.66 3877.11 17.15 0.019 0.936 0.027 0.237 0.032 1.3 0.025 118.19253949181099 -26.735236431943324 5.7488
10922 2050.28 2181.2 19.381 0.059 1.552 0.087 "" "" 2.653 0.076 118.44508609152435 -26.93838787769041 17.7954
11051 821.311 3253.58 19.455 0.131 0.326 0.318 "" "" "" "" 118.61054783027305 -26.80754143991384 7.1682
11581 3687.83 3212.97 19.693 0.097 1.049 0.15 "" "" 2.218 0.108 118.22187050756722 -26.815303859979025 11.4134
12052 1446.34 1833.55 18.769 0.27 2.279 0.41 "" "" "" "" 118.5273729058958 -26.979808510333438 10.8400
12271 2147.64 3178.7 19.634 0.065 1.276 0.095 "" "" 2.42 0.083 118.43077066405775 -26.817912900128718 6.3280
12342 1808.09 4009.95 19.616 0.103 0.292 0.151 1.194 0.195 1.229 0.163 118.47588912434075 -26.717098280019883 8.8288
12371 511.564 282.291 19.238 0.111 1.451 0.168 "" "" "" "" 118.65586623802673 -27.166384924176956 15.1037
12585 1130.22 3960.16 19.494 0.093 0.668 0.15 1.101 0.189 "" "" 118.56786918845592 -26.722441756767562 16.8308
12783 2718.46 1500.49 19.761 0.058 0.973 0.1 "" "" 2.118 0.078 118.3552348902657 -27.02133327561536 17.5763
13029 24.704 1010.99 20.62 0.183 -0.281 0.201 "" "" 2.244 0.347 118.72107548653904 -27.07781941025236 8.6820
13758 3316.39 2002.16 19.724 0.032 1.109 0.049 "" "" 1.703 0.039 118.27359128069472 -26.96128963273792 6.1145
14375 3857.94 1.548 20.409 0.154 0.303 0.168 "" "" 2.265 0.15 118.20238436728984 -27.20365091665945 21.3264
13874 3491.1 2807.19 19.787 0.114 0.813 0.135 "" "" "" "" 118.24900126920016 -26.864156295651604 13.6078
14806 1233.38 4000.25 19.272 0.113 0.051 0.159 0.324 0.139 -0.488 0.118 118.55383515992057 -26.717698614083492 8.5546
13378 534.753 3498.8 19.676 0.036 1.103 0.052 "" "" 1.765 0.043 118.64913383274883 -26.777615417155904 13.5921
16771 1012.85 4026.49 20.142 0.138 0.916 0.17 "" "" 1.412 0.325 118.58371150108066 -26.714307332418173 14.6933
17089 1314.62 3835.95 20.222 0.163 0.732 0.237 "" "" 1.08 0.268 118.54300163947379 -26.737639104130437 22.4738
17246 1423.06 3931.13 20.224 0.198 0.668 0.27 "" "" 1.074 0.267 118.52819015213812 -26.726242264359307 8.9699
17998 3845.84 3125.91 20.259 0.574 0.964 0.65 "" "" "" "" 118.200540212792 -26.825984462766375 8.6291
18105 737.112 3250.65 20.21 0.16 1.826 0.426 "" "" "" "" 118.62196914801251 -26.807811777842314 15.7868
19205 406.915 313.545 20.812 0.08 0.18 0.1 "" "" 1.149 0.105 118.6700226074185 -27.162502943560302 9.2807
19661 111.295 3920.25 18.974 0.235 2.654 0.258 "" "" 0.369 0.341 118.70608798426416 -26.72625146493582 14.6973
19777 1780.76 4081.66 21.125 0.135 0.045 0.177 "" "" "" "" 118.47951530067944 -26.708403191152737 13.2702
19801 14.776 3480.54 19.88 0.414 1.61 0.445 "" "" "" "" 118.71966718925637 -26.779304922095513 5.2700
20390 16.674 1083.63 21.702 0.186 -0.403 0.211 "" "" "" "" 118.72208339306732 -27.069031122331268 5.0013
22708 303.419 1258.23 21.312 0.068 0.328 0.097 "" "" "" "" 118.68300375169191 -27.048211971553236 19.7889
22893 2535.24 2792.45 21.458 0.064 -0.042 0.089 -0.738 0.124 1.331 0.08 118.3786398774318 -26.864986386508786 16.3601
23628 681.136 938.523 21.85 0.097 -0.24 0.131 "" "" 2.253 0.1 118.63213895381448 -27.087232294599346 5.0541
23789 1273.93 255.784 21.969 0.132 -0.337 0.16 "" "" 2.255 0.132 118.55251295287404 -27.17034789655957 5.7683
